Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch84_file34	461	2	1	1	1	1	1
ch98_file65	1314	4	2	1	1	1	0
ch354_file16	4081	16	9	7	6	3	2
ch512_file50	1419	2	0	0	0	0	0
ch327_file84	3666	17	11	7	3	1	0
ch110_file8	1354	1	1	1	1	0	0
ch75_file134	6612	21	11	4	4	3	2
ch422_file56	3530	9	5	3	1	0	0
ch433_file11	5661	22	9	9	5	2	1
ch61_file24	2342	1	0	0	0	0	0
ch422_file26	2019	4	2	1	0	0	0
ch327_file43	5510	19	9	5	2	2	0
ch284_file18	5653	15	8	5	3	2	2
ch360_file53	4128	20	10	8	4	4	3
ch18_file87	5086	9	3	1	1	0	0
ch68_file141	3697	10	8	3	2	1	1
ch223_file85	1076	3	0	0	0	0	0
ch367_file134	6244	29	19	12	8	8	4
ch176_file108	3350	11	7	3	2	0	0
ch327_file4	4219	18	14	5	4	3	1
ch281_file131	3837	7	5	4	2	1	1
ch84_file87	3462	11	5	3	2	1	0
ch486_file11	4493	19	11	4	3	3	0
ch155_file208	7614	27	13	10	5	2	1
ch139_file35	781	2	1	0	0	0	0
ch302_file32	3457	20	14	12	7	1	0
ch281_file21	1860	3	1	1	0	0	0
ch366_file44	1118	8	5	4	3	3	1
ch285_file41	807	3	3	1	1	0	0
ch456_file18	4482	20	14	7	6	4	3
ch160_file18	849	3	2	2	1	0	0
ch154_file119	7558	30	22	15	8	3	0
ch436_file14	2455	6	5	1	0	0	0
ch136_file24	2712	9	7	2	1	0	0
ch505_file145	5178	14	10	6	5	5	4
ch136_file92	4643	12	10	4	2	2	1
ch512_file2	880	2	2	2	2	2	1
ch248_file15	808	2	1	1	1	1	0
ch90_file19	3982	10	8	3	2	2	1
ch453_file99	4930	16	10	6	2	2	2
ch216_file147	5142	17	10	5	4	3	3
ch450_file123	3987	23	14	9	4	3	3
ch291_file20	3271	11	9	3	2	2	0
ch202_file6	5224	17	9	8	4	4	1
ch218_file117	4724	15	10	7	2	0	0
ch284_file15	5068	17	10	4	2	2	2
ch26_file18	3456	17	10	7	3	2	2
ch327_file141	1726	6	5	3	0	0	0
ch214_file68	2184	5	1	0	0	0	0
ch215_file8	7387	35	20	11	6	4	3
ch494_file101	2300	5	4	3	3	1	1
ch453_file54	687	0	0	0	0	0	0
ch374_file158	8027	22	10	9	4	2	2
ch292_file18	3866	10	6	4	2	1	1
ch66_file62	2703	10	7	3	2	1	1
ch290_file21	795	4	3	1	0	0	0
ch9_file30	1644	2	2	1	0	0	0
ch195_file128	3931	20	10	3	2	1	1
ch138_file0	3273	4	4	0	0	0	0
ch415_file76	4294	13	5	3	2	1	1
ch68_file26	2237	6	2	2	1	0	0
ch405_file34	3469	18	9	3	0	0	0
ch421_file13	5772	12	8	3	2	1	1
ch1_file149	2229	11	6	2	2	1	1
ch166_file57	6654	35	26	12	6	4	1
ch512_file27	1510	8	2	1	0	0	0
ch136_file11	2906	3	2	1	1	1	1
ch281_file76	4600	10	5	3	3	2	1
ch354_file2	2846	17	10	5	4	4	3
ch351_file49	4026	7	4	3	0	0	0
ch195_file76	5610	17	10	5	2	2	0
ch139_file63	1514	4	2	0	0	0	0
ch77_file19	2742	7	4	3	2	2	0
ch328_file9	1284	4	0	0	0	0	0
ch243_file82	2577	7	5	3	3	3	1
ch133_file40	4873	8	5	3	2	0	0
ch300_file9	1092	2	1	1	0	0	0
ch84_file70	6729	25	16	12	10	9	7
ch335_file147	1658	5	3	3	2	1	1
ch367_file17	1480	7	5	4	2	2	2
ch249_file77	3287	4	2	0	0	0	0
ch48_file7	5690	12	7	4	3	2	2
ch57_file5	4282	8	3	1	1	0	0
ch244_file5	9840	65	41	30	20	10	7
ch136_file23	3321	16	13	7	3	2	2
ch149_file12	5836	12	6	4	2	0	0
ch407_file38	2581	12	7	4	3	2	2
ch20_file1	1103	2	1	0	0	0	0
ch53_file21	4246	12	9	5	3	2	2
ch361_file15	1191	4	2	1	0	0	0
ch509_file57	3390	9	3	1	0	0	0
ch196_file56	4321	16	11	4	1	0	0
ch101_file9	8499	24	15	9	4	4	2
ch140_file54	1415	3	3	0	0	0	0
ch375_file27	4169	18	13	6	5	5	3
ch450_file35	4371	31	21	11	10	10	9
ch84_file103	3762	15	11	7	1	0	0
ch406_file47	5738	11	6	4	1	0	0
ch434_file9	4456	8	5	4	3	1	1
ch434_file16	2071	15	9	6	3	2	1
ch306_file109	1509	5	1	0	0	0	0
ch368_file14	5208	30	18	11	8	6	5
ch306_file46	4518	20	12	8	6	4	3
ch336_file34	3980	15	9	5	4	3	3
ch509_file5	3957	25	14	7	5	4	2
ch75_file62	3813	12	7	4	1	1	1
ch139_file10	4888	17	8	6	3	2	2
ch325_file26	1429	5	2	1	1	1	1
ch17_file5	3872	10	5	4	2	1	0
ch11_file198	4072	13	8	5	3	3	2
ch449_file50	3336	10	4	2	1	1	1
ch326_file112	1632	4	1	0	0	0	0
ch83_file3	6737	33	22	14	7	2	2
ch160_file5	3279	5	1	1	0	0	0
ch199_file50	2794	14	8	3	2	1	1
ch314_file53	1742	3	0	0	0	0	0
ch136_file20	4639	10	8	3	3	0	0
ch354_file9	2689	13	9	6	5	2	0
ch179_file90	4222	2	2	2	1	1	0
ch26_file131	5543	25	16	11	8	6	3
ch326_file4	4061	7	3	2	1	0	0
ch253_file21	5708	41	21	10	9	5	2
ch453_file93	5947	22	9	4	4	2	1
ch214_file35	3412	15	8	6	3	1	0
ch450_file164	2104	9	6	4	3	1	1
ch276_file108	3022	5	3	2	2	0	0
ch94_file204	4440	7	3	3	2	1	1
ch214_file76	4929	24	15	8	2	0	0
ch292_file49	4153	20	14	8	4	4	4
ch481_file25	4301	22	17	13	6	5	3
ch296_file23	1112	4	0	0	0	0	0
ch449_file1	521	1	0	0	0	0	0
ch466_file113	3030	6	4	1	0	0	0
ch468_file34	2987	6	3	1	0	0	0
ch248_file107	2210	6	6	2	2	0	0
ch66_file298	3002	9	6	2	1	0	0
ch328_file94	3853	11	5	3	3	2	0
ch416_file21	3851	11	8	5	5	1	1
ch26_file36	5903	14	8	5	2	1	1
ch375_file73	7129	28	17	10	9	5	4
ch408_file8	3442	8	6	6	3	1	1
ch85_file155	4581	13	9	7	3	3	0
ch140_file60	1231	2	1	1	1	0	0
ch368_file80	3130	11	5	3	2	1	1
ch224_file104	1041	2	2	1	1	0	0
ch11_file133	4035	6	4	1	1	0	0
ch196_file26	4828	8	6	3	2	0	0
ch450_file50	3501	7	2	2	2	0	0
