Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch135_file7	1030	5	3	2	1	1	0
ch139_file63	1257	3	2	1	0	0	0
ch286_file93	4214	4	4	2	1	1	0
ch456_file18	5309	19	9	8	6	3	2
ch11_file1	739	5	2	1	0	0	0
ch351_file49	3991	18	10	7	4	1	1
ch243_file82	2368	6	5	3	3	3	2
ch328_file94	3483	3	0	0	0	0	0
ch434_file16	1974	14	4	2	2	1	0
ch327_file62	260	1	0	0	0	0	0
ch327_file43	5037	21	14	9	5	3	1
ch294_file30	3685	23	15	10	7	6	5
ch9_file40	1208	1	0	0	0	0	0
ch452_file79	2604	7	4	2	0	0	0
ch360_file97	1798	4	3	3	3	2	2
ch68_file141	6545	14	12	4	2	1	1
ch367_file134	5648	15	8	4	3	0	0
ch486_file4	4065	39	25	16	8	7	7
ch48_file7	3336	20	10	6	3	2	2
ch181_file67	2382	9	7	4	3	2	0
ch154_file86	4708	15	8	3	3	2	2
ch281_file8	4842	17	7	4	3	0	0
ch154_file119	7420	27	19	14	9	3	3
ch374_file36	1013	5	4	3	2	2	1
ch176_file45	1609	3	2	1	1	1	1
ch306_file57	5091	29	17	11	5	4	4
ch453_file93	5490	34	16	13	10	7	3
ch219_file9	1279	2	1	0	0	0	0
ch155_file35	634	6	3	3	2	1	1
ch18_file134	659	3	3	3	1	1	1
ch374_file158	8077	32	16	8	6	6	3
ch284_file64	1958	7	3	3	2	1	1
ch195_file76	5196	25	16	7	4	2	0
ch415_file76	4072	14	8	5	3	1	0
ch485_file39	3453	13	9	7	3	0	0
ch455_file74	1494	2	2	1	1	1	0
ch136_file14	1175	0	0	0	0	0	0
ch408_file28	2745	16	11	6	4	3	0
ch75_file5	4106	5	3	1	1	0	0
ch281_file76	4041	4	3	2	1	1	0
ch423_file3	6810	44	32	18	13	7	7
ch433_file11	5501	28	18	12	7	4	3
ch1_file23	4790	6	1	1	0	0	0
ch474_file49	3879	11	9	7	5	4	3
ch178_file6	4356	37	22	18	12	8	6
ch42_file57	1510	1	0	0	0	0	0
ch361_file28	3115	28	17	11	6	5	1
ch72_file74	898	2	0	0	0	0	0
ch1_file149	2068	5	3	2	0	0	0
ch14_file1	3790	22	14	9	6	3	2
ch408_file15	1612	9	9	6	4	2	0
ch327_file6	1175	9	6	2	1	1	1
ch134_file17	7659	27	14	11	5	3	1
ch216_file111	2953	18	10	6	4	2	1
ch253_file21	5261	13	9	6	4	3	1
ch206_file5	2011	8	4	1	1	1	1
ch136_file24	2439	13	10	8	5	2	1
ch354_file31	3426	19	12	9	6	1	0
ch468_file34	3099	9	6	1	1	1	0
ch292_file49	4134	25	13	6	3	1	0
ch110_file173	1179	2	1	0	0	0	0
ch286_file160	2444	8	6	3	2	1	0
ch441_file28	1874	13	11	6	1	0	0
ch366_file44	1048	5	4	3	1	1	1
